clan_name,within_clan_correlation,coda_type,grpvar,loc,year,date,latitude,longitude,coda_number,nclicks,duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,349,5,0.44,0.117,0.111,0.101,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,61,38,GAL,1987,1987-03-09,0.1,-91.3,350,6,0.79,0.135,0.127,0.118,0.119,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,610,38,GAL,1987,1987-03-09,0.1,-91.3,351,6,1.19,0.144,0.133,0.121,0.126,0.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,61,38,GAL,1987,1987-03-09,0.1,-91.3,352,6,0.79,0.135,0.135,0.121,0.125,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,#N/A,38,GAL,1987,1987-03-09,0.1,-91.3,353,12,0.34,0.037,0.036,0.035,0.031,0.031,0.029,0.028,0.031,0.027,0.024,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,64,38,GAL,1987,1987-03-09,0.1,-91.3,354,6,0.34,0.041,0.035,0.077,0.086,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,355,5,0.42,0.114,0.101,0.094,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,356,5,0.44,0.112,0.108,0.103,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,51,38,GAL,1987,1987-03-09,0.1,-91.3,357,5,0.81,0.2,0.202,0.208,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,88,38,GAL,1987,1987-03-09,0.1,-91.3,358,8,0.58,0.102,0.054,0.065,0.081,0.101,0.077,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,359,5,0.47,0.126,0.114,0.113,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,85,38,GAL,1987,1987-03-09,0.1,-91.3,360,8,0.58,0.055,0.045,0.048,0.064,0.076,0.089,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,361,5,0.46,0.126,0.112,0.113,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,79,38,GAL,1987,1987-03-09,0.1,-91.3,362,7,1.28,0.189,0.199,0.202,0.195,0.211,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,363,5,0.43,0.114,0.109,0.098,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,364,5,0.42,0.101,0.101,0.102,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,59,38,GAL,1987,1987-03-09,0.1,-91.3,365,5,0.44,0.124,0.112,0.099,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG,0.839047235,88,31,GAL,1987,1987-01-23,0.133,-90.962,2378,8,2.78,0.297,0.419,0.412,0.419,0.409,0.416,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG,0.839047235,512,31,GAL,1987,1987-01-23,0.133,-90.962,2379,5,1.02,0.244,0.259,0.254,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG,0.839047235,62,31,GAL,1987,1987-01-23,0.133,-90.962,2380,6,1.11,0.216,0.221,0.229,0.224,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
